sigungu,sigungu_code,dong,dong_code,boundary_wkt,admin_dong_code,gu_code
강남구,11230,수서동,1123075,"POLYGON ((127.104076240713 37.4908320962496, 127.11025761076787 37.48649739956609, 127.11314705595287 37.480127870880345, 127.10771415071433 37.47993429093454, 127.10560682685214 37.482955125022336, 127.1000935746333 37.47939253962789, 127.09945312663469 37.475272759096235, 127.09510067486981 37.474453413329506, 127.09702692156233 37.479591576263, 127.09620412081851 37.484545771904756, 127.09285661208187 37.48853012296095, 127.104076240713 37.4908320962496))",1168075000,11680
강남구,11230,일원2동,1123074,"POLYGON ((127.07759949729024 37.49839572885325, 127.08573831212134 37.49645940739078, 127.0925798228796 37.49466797489548, 127.08172540673972 37.49085982528918, 127.0839105884464 37.48586538552836, 127.07955765330033 37.48431726402668, 127.07831697796368 37.48978382345622, 127.07394407641691 37.490219908941526, 127.07759949729024 37.49839572885325))",,11680
강남구,11230,일원1동,1123073,"POLYGON ((127.0925798228796 37.49466797489548, 127.0988509639092 37.49302529254068, 127.104076240713 37.4908320962496, 127.09285661208187 37.48853012296095, 127.0839105884464 37.48586538552836, 127.08172540673972 37.49085982528918, 127.0925798228796 37.49466797489548))",1168073000,11680
강남구,11230,일원본동,1123072,"POLYGON ((127.0839105884464 37.48586538552836, 127.09285661208187 37.48853012296095, 127.09620412081851 37.484545771904756, 127.09702692156233 37.479591576263, 127.09510067486981 37.474453413329506, 127.08727101192895 37.472465566199986, 127.0792709266303 37.47220180263369, 127.07496933809618 37.475920723613505, 127.07955765330033 37.48431726402668, 127.0839105884464 37.48586538552836))",1168072000,11680
강남구,11230,개포4동,1123071,"POLYGON ((127.05383176381247 37.482047981751535, 127.05587472631811 37.478288628675365, 127.06463901956462 37.47003474490574, 127.06371868919344 37.4661503234869, 127.0559170481904 37.4659228914077, 127.05168651987388 37.46767933933969, 127.053163612607 37.46868345481501, 127.04604758022018 37.476903515648424, 127.05383176381247 37.482047981751535))",1168069000,11680
강남구,11230,개포1동,1123068,"POLYGON ((127.05862774489128 37.48485501136302, 127.07135137525977 37.47107802023145, 127.06463901956462 37.47003474490574, 127.05587472631811 37.478288628675365, 127.05383176381247 37.482047981751535, 127.05862774489128 37.48485501136302))",1168066000,11680
강남구,11230,도곡2동,1123067,"POLYGON ((127.05508059617965 37.49354665411371, 127.05866574786786 37.484875268285805, 127.05862774489128 37.48485501136302, 127.05383176381247 37.482047981751535, 127.04604758022018 37.476903515648424, 127.04345123620755 37.48276415595109, 127.05192926662072 37.48557435972622, 127.0487980642459 37.491499814920594, 127.05461669063445 37.49424887399282, 127.05508059617965 37.49354665411371))",1168065600,11680
강남구,11230,도곡1동,1123066,"POLYGON ((127.0487980642459 37.491499814920594, 127.05192926662072 37.48557435972622, 127.04345123620755 37.48276415595109, 127.03621915098798 37.48175802427603, 127.03372770134304 37.48673420790798, 127.0429937515614 37.4896079199333, 127.0487980642459 37.491499814920594))",1168065500,11680
강남구,11230,역삼2동,1123065,"POLYGON ((127.05461669063445 37.49424887399282, 127.0487980642459 37.491499814920594, 127.0429937515614 37.4896079199333, 127.03914920908133 37.497812019813196, 127.04928414981033 37.50116986852596, 127.05461669063445 37.49424887399282))",1168065000,11680
강남구,11230,역삼1동,1123064,"POLYGON ((127.04637616087683 37.50642665161706, 127.05103593048881 37.50182669060668, 127.04928414981033 37.50116986852596, 127.03914920908133 37.497812019813196, 127.0429937515614 37.4896079199333, 127.03372770134304 37.48673420790798, 127.02973923489684 37.49515937670812, 127.02659989308502 37.50171416311321, 127.02657410782747 37.50176795282692, 127.0360134845328 37.504542767054886, 127.04637616087683 37.50642665161706))",1168064000,11680
강남구,11230,대치4동,1123063,"POLYGON ((127.05879877483423 37.504050964816194, 127.06296770120233 37.496068529964205, 127.05508059617965 37.49354665411371, 127.05461669063445 37.49424887399282, 127.04928414981033 37.50116986852596, 127.05103593048881 37.50182669060668, 127.05879877483423 37.504050964816194))",1168063000,11680
강남구,11230,대치1동,1123060,"POLYGON ((127.05508059617965 37.49354665411371, 127.06296770120233 37.496068529964205, 127.06763773042414 37.487263687924894, 127.05866574786786 37.484875268285805, 127.05508059617965 37.49354665411371))",1168060000,11680
강남구,11230,삼성2동,1123059,"POLYGON ((127.04426529288817 37.51461391134843, 127.05237890906925 37.51605001646398, 127.05879877483423 37.504050964816194, 127.05103593048881 37.50182669060668, 127.04637616087683 37.50642665161706, 127.04426529288817 37.51461391134843))",1168059000,11680
강남구,11230,삼성1동,1123058,"POLYGON ((127.0690698130372 37.522279423505026, 127.07057106587357 37.50748081931759, 127.05879877483423 37.504050964816194, 127.05237890906925 37.51605001646398, 127.06365597242453 37.518924048557444, 127.06737268086228 37.5228018732759, 127.0690698130372 37.522279423505026))",1168058000,11680
강남구,11230,논현2동,1123053,"POLYGON ((127.03018252439756 37.51678177148938, 127.04128354419875 37.52010346103419, 127.04426529288817 37.51461391134843, 127.04637616087683 37.50642665161706, 127.0360134845328 37.504542767054886, 127.03018252439756 37.51678177148938))",1168053100,11680
강남구,11230,논현1동,1123052,"POLYGON ((127.03018252439756 37.51678177148938, 127.0360134845328 37.504542767054886, 127.02657410782747 37.50176795282692, 127.02245373407158 37.508002078676576, 127.02161856434614 37.513416422499084, 127.03018252439756 37.51678177148938))",1168052100,11680
강남구,11230,신사동,1123051,"POLYGON ((127.0236688023869 37.53273057382971, 127.03072620802452 37.52381134651025, 127.03018252439756 37.51678177148938, 127.02161856434614 37.513416422499084, 127.01917707838057 37.520085205855196, 127.01397119667513 37.52503988289669, 127.02302831890559 37.53231899582663, 127.0236688023869 37.53273057382971))",1168051000,11680
서초구,11220,내곡동,1122068,"POLYGON ((127.0792709266303 37.47220180263369, 127.08727101192895 37.472465566199986, 127.0866005634691 37.47006403057779, 127.09842759318751 37.45862253857461, 127.09472136159357 37.450897902539175, 127.09047890749349 37.44637473407341, 127.09046928565951 37.44296826114185, 127.08441983692467 37.4383879031398, 127.07686576585408 37.43960712011444, 127.07361291761038 37.43318474533595, 127.0733788318578 37.42814484786288, 127.06526281404322 37.426893481829154, 127.0656455399364 37.43509622285728, 127.0593944565645 37.44315813094073, 127.05297293494668 37.449241270494966, 127.04513792893613 37.46281221924982, 127.05168651987388 37.46767933933969, 127.0559170481904 37.4659228914077, 127.06371868919344 37.4661503234869, 127.06463901956462 37.47003474490574, 127.07135137525977 37.47107802023145, 127.0792709266303 37.47220180263369))",1165066000,11650
서초구,11220,양재2동,1122067,"POLYGON ((127.04604758022018 37.476903515648424, 127.053163612607 37.46868345481501, 127.05168651987388 37.46767933933969, 127.04513792893613 37.46281221924982, 127.05297293494668 37.449241270494966, 127.0593944565645 37.44315813094073, 127.0656455399364 37.43509622285728, 127.06526281404322 37.426893481829154, 127.05424556064274 37.42574929824175, 127.03751805596916 37.438362795245276, 127.04031700689708 37.44191429311459, 127.03825522385397 37.448766467898395, 127.03881782597922 37.45382039851715, 127.0319652225414 37.46263681748507, 127.03107641152377 37.46504242807259, 127.03588486600127 37.47009273541269, 127.04144896740124 37.471917481885704, 127.04604758022018 37.476903515648424))",1165065200,11650
서초구,11220,양재1동,1122066,"POLYGON ((127.03621915098798 37.48175802427603, 127.04345123620755 37.48276415595109, 127.04604758022018 37.476903515648424, 127.04144896740124 37.471917481885704, 127.03588486600127 37.47009273541269, 127.03107641152377 37.46504242807259, 127.0319652225414 37.46263681748507, 127.02820831539744 37.455700834295826, 127.02263694708293 37.45335816711404, 127.01316256500736 37.45257906566242, 127.00738548779366 37.459815333664274, 127.00552362663117 37.46445102893571, 127.01241251373114 37.46945266650744, 127.02193521391702 37.474067716833154, 127.02911870203953 37.477701177812094, 127.03462716684471 37.478201066805696, 127.03621915098798 37.48175802427603))",1165065100,11650
서초구,11220,방배4동,1122065,"POLYGON ((126.99756162244753 37.49121462895283, 127.00236954846237 37.48914136388378, 127.0028991124446 37.48711641458056, 126.9917301376147 37.48363649668782, 126.9841829418739 37.48258040500068, 126.98475158894651 37.48808652542345, 126.99756162244753 37.49121462895283))",1165062100,11650
서초구,11220,방배3동,1122064,"POLYGON ((127.00425350496688 37.47948911528557, 127.01241251373114 37.46945266650744, 127.00552362663117 37.46445102893571, 126.99837609897334 37.46390918086617, 126.99684871156603 37.46601122839686, 126.98890725595724 37.468374836458025, 126.98869909976182 37.47431676692406, 126.99573866021271 37.47737384236648, 127.00425350496688 37.47948911528557))",1165062000,11650
서초구,11220,방배2동,1122063,"POLYGON ((126.9917301376147 37.48363649668782, 126.99573866021271 37.47737384236648, 126.98869909976182 37.47431676692406, 126.98890725595724 37.468374836458025, 126.99684871156603 37.46601122839686, 126.99837609897334 37.46390918086617, 126.99893310307874 37.459376062410314, 126.99072073195462 37.455326143310025, 126.99026416700147 37.46271603227842, 126.9846374349825 37.46996301876212, 126.98367668291802 37.473856492692086, 126.9841829418739 37.48258040500068, 126.9917301376147 37.48363649668782))",1165061000,11650
서초구,11220,방배1동,1122062,"POLYGON ((127.0028991124446 37.48711641458056, 127.00425350496688 37.47948911528557, 126.99573866021271 37.47737384236648, 126.9917301376147 37.48363649668782, 127.0028991124446 37.48711641458056))",1165060000,11650
서초구,11220,방배본동,1122061,"POLYGON ((126.99280810942619 37.49535122909258, 126.99756162244753 37.49121462895283, 126.98475158894651 37.48808652542345, 126.98500224966135 37.49356837311327, 126.98984815732794 37.49543063072423, 126.99280810942619 37.49535122909258))",1165059000,11650
서초구,11220,반포4동,1122060,"POLYGON ((127.01112805225623 37.504611045572915, 127.0144851182109 37.49656589001244, 127.01455292676967 37.496242894198296, 127.00760224649255 37.494135920600236, 127.00236954846237 37.48914136388378, 126.99756162244753 37.49121462895283, 126.99280810942619 37.49535122909258, 127.00505388111766 37.49914077747473, 127.0031594358826 37.50220792443068, 127.01112805225623 37.504611045572915))",1165058100,11650
서초구,11220,반포3동,1122059,"POLYGON ((127.00652968936647 37.51745900392613, 127.01099709850469 37.51284317742507, 127.0137942031517 37.505368036653536, 127.01112805225623 37.504611045572915, 127.0031594358826 37.50220792443068, 126.99804297072596 37.5129396612835, 127.00248921069708 37.5151468928724, 127.00652968936647 37.51745900392613))",1165058000,11650
